"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	12	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	12	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"75-84 years"	"75-84"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	25	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	11	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	15	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	16	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"May, 2014"	"2014/05"	13	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Jun., 2014"	"2014/06"	11	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	12	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	14	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	13	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	15	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	16	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Feb., 2015"	"2015/02"	14	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	13	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Jun., 2015"	"2015/06"	11	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Jul., 2015"	"2015/07"	12	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	11	Not Applicable	Not Applicable
	"Jasper County, IA"	"19099"	"85+ years"	"85+"	"Dec., 2015"	"2015/12"	18	Not Applicable	Not Applicable
	"Jefferson County, IA"	"19101"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	12	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Aug., 2014"	"2014/08"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Sep., 2014"	"2014/09"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Jan., 2015"	"2015/01"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Jul., 2015"	"2015/07"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Aug., 2015"	"2015/08"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Oct., 2015"	"2015/10"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"65-74 years"	"65-74"	"Nov., 2015"	"2015/11"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	16	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Feb., 2013"	"2013/02"	21	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	17	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Nov., 2013"	"2013/11"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	15	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	15	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Sep., 2014"	"2014/09"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	12	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Dec., 2014"	"2014/12"	17	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"75-84 years"	"75-84"	"Dec., 2015"	"2015/12"	16	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	28	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	23	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	26	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"May, 2013"	"2013/05"	25	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	20	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jul., 2013"	"2013/07"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Sep., 2013"	"2013/09"	20	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	17	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	24	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Dec., 2013"	"2013/12"	27	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	22	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	17	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	23	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	16	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"May, 2014"	"2014/05"	15	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jun., 2014"	"2014/06"	26	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jul., 2014"	"2014/07"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	20	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	21	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Nov., 2014"	"2014/11"	26	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	37	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Feb., 2015"	"2015/02"	14	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	25	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"May, 2015"	"2015/05"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jun., 2015"	"2015/06"	21	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Jul., 2015"	"2015/07"	18	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	21	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Sep., 2015"	"2015/09"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	16	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	19	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"85+ years"	"85+"	"Dec., 2015"	"2015/12"	27	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	11	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	11	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Sep., 2013"	"2013/09"	11	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Jones County, IA"	"19105"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable
	"Keokuk County, IA"	"19107"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	12	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"75-84 years"	"75-84"	"May, 2015"	"2015/05"	11	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	14	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	11	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Kossuth County, IA"	"19109"	"85+ years"	"85+"	"May, 2015"	"2015/05"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"65-74 years"	"65-74"	"Mar., 2015"	"2015/03"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"65-74 years"	"65-74"	"Aug., 2015"	"2015/08"	14	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"75-84 years"	"75-84"	"Dec., 2015"	"2015/12"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	18	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	21	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	16	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	17	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jul., 2013"	"2013/07"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Sep., 2013"	"2013/09"	16	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	19	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	17	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Dec., 2013"	"2013/12"	13	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	13	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"May, 2014"	"2014/05"	20	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jun., 2014"	"2014/06"	11	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	18	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	12	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	17	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	17	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	19	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"May, 2015"	"2015/05"	20	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Jun., 2015"	"2015/06"	14	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	19	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	13	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"Lee County, IA"	"19111"	"85+ years"	"85+"	"Dec., 2015"	"2015/12"	18	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	24	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	15	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	19	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	10	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	13	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	16	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	14	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	13	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	17	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	16	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	21	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	17	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	19	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	15	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	11	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	16	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	15	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	16	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	19	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	19	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	14	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	19	Not Applicable	Not Applicable
